,Yields,Baseline,Predicted Yields,Origin,Coupling Partner
283,77.0,38.68284789644013,83.88484920634923,optimization,Nitrobenzene
284,0.0,38.68284789644013,30.858642857142858,optimization,Acetophenone
285,0.0,38.68284789644013,9.525833333333333,optimization,Nitrobenzene
286,80.0,38.68284789644013,83.88484920634923,optimization,Nitrobenzene
287,10.0,38.68284789644013,10.088613636363636,optimization,1-ethynyl-4-methylbenzene
288,34.0,38.68284789644013,14.530857142857144,optimization,Acetophenone
289,93.0,38.68284789644013,75.03139285714286,optimization,Phenylacetylene
290,45.0,38.68284789644013,29.570444444444444,optimization,Phenylacetylene
291,31.0,38.68284789644013,48.34112859526096,optimization,1-ethynyl-4-methylbenzene
292,20.0,38.68284789644013,13.58,optimization,Acetophenone
293,48.0,38.68284789644013,72.2741746031746,optimization,Acetophenone
294,1.0,38.68284789644013,22.236113636363633,optimization,1-ethynyl-4-methylbenzene
295,34.0,38.68284789644013,19.094087301587297,optimization,Acetophenone
296,0.0,38.68284789644013,11.84125,optimization,Acetophenone
297,24.0,38.68284789644013,20.976025641025643,optimization,1-ethynyl-4-methylbenzene
298,44.0,38.68284789644013,48.34112859526096,optimization,1-ethynyl-4-methylbenzene
299,1.0,38.68284789644013,72.2741746031746,optimization,Acetophenone
300,0.0,38.68284789644013,3.39,optimization,Acetophenone
301,31.0,38.68284789644013,44.88166666666667,optimization,Nitrobenzene
302,96.0,38.68284789644013,47.23464285714286,optimization,Nitrobenzene
303,61.0,38.68284789644013,51.32344463869464,optimization,1-ethynyl-4-methoxybenzene
304,35.0,38.68284789644013,43.30666666666666,optimization,Nitrobenzene
305,0.0,38.68284789644013,66.45530244755246,optimization,Acetophenone
306,36.0,38.68284789644013,48.400765012765035,optimization,Acetophenone
307,0.0,38.68284789644013,6.562428571428573,optimization,Acetophenone
308,65.0,38.68284789644013,72.2741746031746,optimization,Acetophenone
309,20.0,38.68284789644013,14.845999999999998,optimization,Acetophenone
310,23.0,38.68284789644013,33.382222222222225,optimization,Acetophenone
311,56.0,38.68284789644013,36.96965437340437,optimization,Acetophenone
312,61.0,38.68284789644013,36.96965437340437,optimization,Acetophenone
313,1.0,38.68284789644013,72.81054761904763,optimization,Phenylacetylene
314,39.0,38.68284789644013,28.018920634920633,optimization,Acetophenone
315,1.0,38.68284789644013,72.5397142857143,optimization,Phenylacetylene
316,65.0,38.68284789644013,62.65666666666666,optimization,phenylacetylene
317,1.0,38.68284789644013,19.265611111111113,optimization,Nitrobenzene
318,70.0,38.68284789644013,36.96965437340437,optimization,Acetophenone
319,56.0,38.68284789644013,82.63819047619046,optimization,Phenylacetylene
320,52.0,38.68284789644013,12.699939393939394,optimization,Acetophenone
321,76.0,38.68284789644013,82.06652380952383,optimization,Phenylacetylene
322,39.0,38.68284789644013,37.68488095238095,optimization,Phenylacetylene
323,1.0,38.68284789644013,48.922655996781,optimization,1-ethynyl-4-methylbenzene
324,76.0,38.68284789644013,44.65666666666666,optimization,Nitrobenzene
325,88.0,38.68284789644013,58.26266666666666,optimization,Nitrobenzene
326,83.0,38.68284789644013,73.95266666666666,optimization,phenylacetylene
327,86.0,38.68284789644013,82.90485714285714,optimization,Phenylacetylene
328,0.0,38.68284789644013,9.475992063492065,optimization,Acetophenone
329,55.0,38.68284789644013,67.41057142857144,optimization,1-ethynyl-4-methoxybenzene
330,50.0,38.68284789644013,44.92,optimization,Nitrobenzene
331,0.0,38.68284789644013,3.82,optimization,Acetophenone
332,77.0,38.68284789644013,48.922655996781,optimization,1-ethynyl-4-methylbenzene
333,0.0,38.68284789644013,60.9206794871795,optimization,1-ethynyl-4-methylbenzene
334,31.0,38.68284789644013,54.05200000000001,optimization,1-ethynyl-4-methylbenzene
335,76.0,38.68284789644013,49.425,optimization,Nitrobenzene
336,86.0,38.68284789644013,82.90485714285714,optimization,Phenylacetylene
337,1.0,38.68284789644013,62.00151984126984,optimization,Acetophenone
338,25.0,38.68284789644013,1.36,optimization,Acetophenone
339,20.0,38.68284789644013,2.02,optimization,Acetophenone
340,98.0,38.68284789644013,73.57188515651015,optimization,Acetophenone
341,8.0,38.68284789644013,22.980655982905983,optimization,Acetophenone
342,77.0,38.68284789644013,25.49666666666667,optimization,Nitrobenzene
343,1.0,38.68284789644013,23.109380785880777,optimization,1-ethynyl-4-methylbenzene
344,0.0,38.68284789644013,9.382638528138527,optimization,Acetophenone
345,0.0,38.68284789644013,44.25047619047619,optimization,Nitrobenzene
346,60.0,38.68284789644013,16.18359090909091,optimization,Acetophenone
347,58.0,38.68284789644013,48.922655996781,optimization,1-ethynyl-4-methylbenzene
348,33.0,38.68284789644013,22.34248106060606,optimization,1-ethynyl-4-methylbenzene
349,41.0,38.68284789644013,62.00151984126984,optimization,Acetophenone
350,62.0,38.68284789644013,48.19988888888889,optimization,Acetophenone
351,24.0,38.68284789644013,19.926322344322344,optimization,1-ethynyl-4-methylbenzene
352,75.0,38.68284789644013,73.95266666666666,optimization,phenylacetylene
353,72.0,38.68284789644013,60.61166666666667,optimization,Nitrobenzene
354,11.0,38.68284789644013,11.219906204906206,optimization,Acetophenone
355,96.0,38.68284789644013,46.66,optimization,Nitrobenzene
356,95.0,38.68284789644013,50.54690476190477,optimization,Nitrobenzene
357,64.0,38.68284789644013,73.57188515651015,optimization,Acetophenone
358,84.0,38.68284789644013,62.00151984126984,optimization,Acetophenone
359,0.0,38.68284789644013,3.0831439393939393,optimization,Acetophenone
360,34.0,38.68284789644013,8.654535714285714,optimization,Acetophenone
361,83.0,38.68284789644013,65.14551282051282,optimization,1-ethynyl-4-methylbenzene
362,20.0,38.68284789644013,63.71754761904762,optimization,Phenylacetylene
363,0.0,38.68284789644013,12.960888528138527,optimization,Acetophenone
364,55.0,38.68284789644013,54.63933333333333,optimization,phenylacetylene
365,28.0,38.68284789644013,53.92680158730158,optimization,Nitrobenzene
366,63.0,38.68284789644013,61.95668253968254,optimization,Nitrobenzene
367,0.0,38.68284789644013,12.530362554112555,optimization,Acetophenone
368,56.0,38.68284789644013,64.59385497835497,optimization,Phenylacetylene
369,50.0,38.68284789644013,66.41233333333334,optimization,Nitrobenzene
370,26.0,38.68284789644013,63.697987734487725,optimization,Phenylacetylene
371,0.0,38.68284789644013,24.241904761904763,optimization,Nitrobenzene
372,55.0,38.68284789644013,80.81673015873014,optimization,phenylacetylene
373,25.0,38.68284789644013,4.93,optimization,Acetophenone
374,1.0,38.68284789644013,14.813375985125985,optimization,1-ethynyl-4-methylbenzene
375,20.0,38.68284789644013,36.67,optimization,Nitrobenzene
376,74.0,38.68284789644013,29.327380952380953,optimization,phenylacetylene
377,34.0,38.68284789644013,10.12125,optimization,Acetophenone
378,45.0,38.68284789644013,43.32004761904763,optimization,Acetophenone
379,83.0,38.68284789644013,69.5294693664179,optimization,1-ethynyl-4-methylbenzene
380,15.0,38.68284789644013,9.520934065934066,optimization,1-ethynyl-4-methylbenzene
381,18.0,38.68284789644013,22.017431457431456,optimization,Acetophenone
382,83.0,38.68284789644013,50.74667460317459,optimization,Acetophenone
383,11.0,38.68284789644013,19.817457431457434,optimization,Acetophenone
384,1.0,38.68284789644013,10.925928571428571,optimization,Acetophenone
385,80.0,38.68284789644013,59.175236111111104,optimization,phenylacetylene
386,80.0,38.68284789644013,81.94473762348764,optimization,Nitrobenzene
387,24.0,38.68284789644013,24.0324126984127,optimization,Acetophenone
388,46.0,38.68284789644013,37.60583333333334,optimization,Nitrobenzene
389,14.0,38.68284789644013,10.202912698412698,optimization,Acetophenone
390,23.0,38.68284789644013,29.204285714285717,optimization,Acetophenone
391,29.0,38.68284789644013,36.89977456367162,optimization,1-ethynyl-4-methylbenzene
392,0.0,38.68284789644013,40.22666666666667,optimization,Acetophenone
393,88.0,38.68284789644013,68.90539101829546,optimization,Acetophenone
394,52.0,38.68284789644013,57.50166666666667,optimization,Nitrobenzene
395,92.0,38.68284789644013,68.90539101829546,optimization,Acetophenone
396,45.0,38.68284789644013,31.31383333333333,optimization,Acetophenone
